question_type,er_success,er_rr_success,count,metric
comparison,False,False,217,retrieval_hit
comparison,False,True,4,retrieval_hit
comparison,True,False,4,retrieval_hit
comparison,True,True,135,retrieval_hit
inference,False,False,227,retrieval_hit
inference,False,True,3,retrieval_hit
inference,True,False,1,retrieval_hit
inference,True,True,129,retrieval_hit
temporal,False,False,209,retrieval_hit
temporal,False,True,5,retrieval_hit
temporal,True,False,4,retrieval_hit
temporal,True,True,142,retrieval_hit
comparison,False,False,336,answer_correct
comparison,False,True,2,answer_correct
comparison,True,False,5,answer_correct
comparison,True,True,17,answer_correct
inference,False,False,205,answer_correct
inference,False,True,7,answer_correct
inference,True,False,11,answer_correct
inference,True,True,137,answer_correct
temporal,False,False,338,answer_correct
temporal,False,True,2,answer_correct
temporal,True,False,1,answer_correct
temporal,True,True,19,answer_correct
unanswerable,False,False,75,answer_correct
unanswerable,False,True,12,answer_correct
unanswerable,True,False,8,answer_correct
unanswerable,True,True,265,answer_correct
