builder_key,contrast,metric,left_regime,right_regime,left_mean,mean_difference,ci_lower,ci_upper,relative_difference_percent,paired_question_count,display_name,family,parameter_billions,scale_band
qwen35_0_8b,Primary: ER+RR−Native,answer_correct,Native,ER+RR,0.2833333333333333,0.03333333333333333,-0.03333333333333333,0.1,11.764705882352942,120,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_0_8b,Primary: ER+RR−Native,token_f1,Native,ER+RR,0.12894736842105262,0.02298499872870582,-0.05403000254258836,0.09675184337655707,17.82510105491472,90,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_0_8b,Primary: ER+RR−Native,over_abstention,Native,ER+RR,0.6333333333333333,0.011111111111111112,-0.08888888888888889,0.1111111111111111,1.7543859649122808,90,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_0_8b,Primary: ER+RR−Native,hallucination,Native,ER+RR,0.23333333333333334,-0.06666666666666667,-0.2,0.06666666666666667,-28.571428571428573,30,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_0_8b,Primary: ER+RR−Native,unanswerable_correct,Native,ER+RR,0.7666666666666667,0.06666666666666667,-0.06666666666666667,0.2,8.695652173913043,30,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_0_8b,Secondary: ER−Native,answer_correct,Native,ER,0.2833333333333333,0.08333333333333333,0.008333333333333333,0.15833333333333333,29.411764705882348,120,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_0_8b,Secondary: ER−Native,token_f1,Native,ER,0.12894736842105262,0.08771929824561404,0.004385964912280703,0.17105263157894737,68.02721088435375,90,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_0_8b,Secondary: ER−Native,over_abstention,Native,ER,0.6333333333333333,0.011111111111111112,-0.08888888888888889,0.1111111111111111,1.7543859649122808,90,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_0_8b,Secondary: ER−Native,hallucination,Native,ER,0.23333333333333334,-0.06666666666666667,-0.23333333333333334,0.1,-28.571428571428573,30,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_0_8b,Secondary: ER−Native,unanswerable_correct,Native,ER,0.7666666666666667,0.06666666666666667,-0.1,0.23333333333333334,8.695652173913043,30,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_0_8b,Incremental: ER+RR−ER,answer_correct,ER,ER+RR,0.36666666666666664,-0.05,-0.09166666666666666,-0.008333333333333333,-13.636363636363637,120,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_0_8b,Incremental: ER+RR−ER,token_f1,ER,ER+RR,0.21666666666666667,-0.06473429951690822,-0.11835748792270531,-0.022222222222222223,-29.87736900780379,90,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_0_8b,Incremental: ER+RR−ER,over_abstention,ER,ER+RR,0.6444444444444445,0.0,-0.06666666666666667,0.06666666666666667,0.0,90,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_0_8b,Incremental: ER+RR−ER,hallucination,ER,ER+RR,0.16666666666666666,0.0,-0.1,0.1,0.0,30,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_0_8b,Incremental: ER+RR−ER,unanswerable_correct,ER,ER+RR,0.8333333333333334,0.0,-0.1,0.1,0.0,30,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_2b,Primary: ER+RR−Native,answer_correct,Native,ER+RR,0.26666666666666666,0.05,-0.03333333333333333,0.125,18.75,120,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_2b,Primary: ER+RR−Native,token_f1,Native,ER+RR,0.15929377406079914,0.06423316196613688,-0.02363741884194393,0.1516401507608945,40.32371154796069,90,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_2b,Primary: ER+RR−Native,over_abstention,Native,ER+RR,0.6333333333333333,-0.044444444444444446,-0.15555555555555556,0.05555555555555555,-7.017543859649123,90,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_2b,Primary: ER+RR−Native,hallucination,Native,ER+RR,0.36666666666666664,-0.03333333333333333,-0.23333333333333334,0.16666666666666666,-9.090909090909092,30,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_2b,Primary: ER+RR−Native,unanswerable_correct,Native,ER+RR,0.6333333333333333,0.03333333333333333,-0.16666666666666666,0.23333333333333334,5.2631578947368425,30,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_2b,Secondary: ER−Native,answer_correct,Native,ER,0.26666666666666666,0.075,0.0,0.15,28.125,120,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_2b,Secondary: ER−Native,token_f1,Native,ER,0.15929377406079914,0.08711400495567552,0.0019945306426528177,0.17320218152725553,54.687639532243054,90,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_2b,Secondary: ER−Native,over_abstention,Native,ER,0.6333333333333333,-0.044444444444444446,-0.14444444444444443,0.05555555555555555,-7.017543859649123,90,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_2b,Secondary: ER−Native,hallucination,Native,ER,0.36666666666666664,-0.06666666666666667,-0.26666666666666666,0.1,-18.181818181818183,30,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_2b,Secondary: ER−Native,unanswerable_correct,Native,ER,0.6333333333333333,0.06666666666666667,-0.1,0.26666666666666666,10.526315789473685,30,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_2b,Incremental: ER+RR−ER,answer_correct,ER,ER+RR,0.3416666666666667,-0.025,-0.058333333333333334,0.0,-7.317073170731708,120,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_2b,Incremental: ER+RR−ER,token_f1,ER,ER+RR,0.24640777901647468,-0.022880842989538644,-0.05714110869002174,0.0035483035483035484,-9.285763250197082,90,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_2b,Incremental: ER+RR−ER,over_abstention,ER,ER+RR,0.5888888888888889,0.0,-0.05555555555555555,0.05555555555555555,0.0,90,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_2b,Incremental: ER+RR−ER,hallucination,ER,ER+RR,0.3,0.03333333333333333,0.0,0.1,11.111111111111112,30,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_2b,Incremental: ER+RR−ER,unanswerable_correct,ER,ER+RR,0.7,-0.03333333333333333,-0.1,0.0,-4.761904761904763,30,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_4b,Primary: ER+RR−Native,answer_correct,Native,ER+RR,0.2916666666666667,0.03333333333333333,-0.025,0.09166666666666666,11.428571428571429,120,Qwen3.5 4B,qwen3.5,4.0,4_to_lt8b
qwen35_4b,Primary: ER+RR−Native,token_f1,Native,ER+RR,0.15581228956228957,0.01296060421060421,-0.04386425148925149,0.0708425336237836,8.318088545527026,90,Qwen3.5 4B,qwen3.5,4.0,4_to_lt8b
qwen35_4b,Primary: ER+RR−Native,over_abstention,Native,ER+RR,0.6333333333333333,0.03333333333333333,-0.05555555555555555,0.12222222222222222,5.2631578947368425,90,Qwen3.5 4B,qwen3.5,4.0,4_to_lt8b
qwen35_4b,Primary: ER+RR−Native,hallucination,Native,ER+RR,0.26666666666666666,-0.1,-0.26666666666666666,0.06666666666666667,-37.5,30,Qwen3.5 4B,qwen3.5,4.0,4_to_lt8b
qwen35_4b,Primary: ER+RR−Native,unanswerable_correct,Native,ER+RR,0.7333333333333333,0.1,-0.06666666666666667,0.26666666666666666,13.636363636363637,30,Qwen3.5 4B,qwen3.5,4.0,4_to_lt8b
qwen35_4b,Secondary: ER−Native,answer_correct,Native,ER,0.2916666666666667,0.025,-0.03333333333333333,0.08333333333333333,8.571428571428571,120,Qwen3.5 4B,qwen3.5,4.0,4_to_lt8b
qwen35_4b,Secondary: ER−Native,token_f1,Native,ER,0.15581228956228957,0.012074247768692212,-0.03805616014643792,0.06309156378600823,7.749226843794791,90,Qwen3.5 4B,qwen3.5,4.0,4_to_lt8b
qwen35_4b,Secondary: ER−Native,over_abstention,Native,ER,0.6333333333333333,0.03333333333333333,-0.05555555555555555,0.12222222222222222,5.2631578947368425,90,Qwen3.5 4B,qwen3.5,4.0,4_to_lt8b
qwen35_4b,Secondary: ER−Native,hallucination,Native,ER,0.26666666666666666,-0.06666666666666667,-0.23333333333333334,0.1,-25.0,30,Qwen3.5 4B,qwen3.5,4.0,4_to_lt8b
qwen35_4b,Secondary: ER−Native,unanswerable_correct,Native,ER,0.7333333333333333,0.06666666666666667,-0.1,0.23333333333333334,9.090909090909092,30,Qwen3.5 4B,qwen3.5,4.0,4_to_lt8b
qwen35_4b,Incremental: ER+RR−ER,answer_correct,ER,ER+RR,0.31666666666666665,0.008333333333333333,-0.016666666666666666,0.03333333333333333,2.6315789473684212,120,Qwen3.5 4B,qwen3.5,4.0,4_to_lt8b
qwen35_4b,Incremental: ER+RR−ER,token_f1,ER,ER+RR,0.16788653733098177,0.0008863564419119976,-0.028205128205128202,0.030864197530864196,0.5279496831628497,90,Qwen3.5 4B,qwen3.5,4.0,4_to_lt8b
qwen35_4b,Incremental: ER+RR−ER,over_abstention,ER,ER+RR,0.6666666666666666,0.0,0.0,0.0,0.0,90,Qwen3.5 4B,qwen3.5,4.0,4_to_lt8b
