display_label,builder_count,type_count,types,assignment_by_builder
Fighter,12,8,"concept, content, melee, meleeclass, method, organization, person, unknown",qwen35_0_8b=method; qwen35_2b=unknown; qwen35_4b=content; qwen35_9b=concept; qwen3_0_6b=person; qwen3_1_7b=organization; qwen3_4b=person; qwen3_8b=concept; gemma3_270m=melee; gemma3_1b=meleeclass; gemma3_4b=method; gemma3_12b=person
Ranger,12,8,"concept, content, method, organization, person, ranged, rangedclass, unknown",qwen35_0_8b=method; qwen35_2b=unknown; qwen35_4b=content; qwen35_9b=concept; qwen3_0_6b=person; qwen3_1_7b=organization; qwen3_4b=person; qwen3_8b=organization; gemma3_270m=ranged; gemma3_1b=rangedclass; gemma3_4b=method; gemma3_12b=person
S&P 500,12,8,"content, data, equity, index, location, organization, stockindex, unknown",qwen35_0_8b=organization; qwen35_2b=location; qwen35_4b=content; qwen35_9b=data; qwen3_0_6b=stockindex; qwen3_1_7b=location; qwen3_4b=content; qwen3_8b=index; gemma3_270m=equity; gemma3_1b=unknown; gemma3_4b=content; gemma3_12b=index
Ketamine,12,7,"artifact, concept, drug, method, naturalobject, person, unknown","qwen35_0_8b=concept; qwen35_2b=concept; qwen35_4b=naturalobject; qwen35_9b=naturalobject; qwen3_0_6b=drug; qwen3_1_7b=concept; qwen3_4b=concept; qwen3_8b=concept; gemma3_270m=person; gemma3_1b=concept; gemma3_4b=method,unknown; gemma3_12b=artifact"
Siri,12,7,"artifact, concept, event, method, person, product, software",qwen35_0_8b=person; qwen35_2b=artifact; qwen35_4b=concept; qwen35_9b=artifact; qwen3_0_6b=event; qwen3_1_7b=artifact; qwen3_4b=product; qwen3_8b=artifact; gemma3_270m=software; gemma3_1b=method; gemma3_4b=artifact; gemma3_12b=artifact
Android,12,6,"app, artifact, content, location, operatingsystem, organization",qwen35_0_8b=location; qwen35_2b=operatingsystem; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=location; qwen3_1_7b=location; qwen3_4b=organization; qwen3_8b=operatingsystem; gemma3_270m=app; gemma3_1b=artifact; gemma3_4b=content; gemma3_12b=artifact
1989,12,5,"album, concept, content, event, person",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=event; qwen3_1_7b=content; qwen3_4b=album; qwen3_8b=content; gemma3_270m=person; gemma3_1b=concept; gemma3_4b=content; gemma3_12b=content
Anker Soundcore Space A40,12,5,"artifact, audio, content, device, event",qwen35_0_8b=artifact; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=event; qwen3_1_7b=artifact; qwen3_4b=artifact; qwen3_8b=artifact; gemma3_270m=device; gemma3_1b=audio; gemma3_4b=artifact; gemma3_12b=artifact
Bad Blood,12,5,"concept, content, event, song, unknown","qwen35_0_8b=unknown; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=event,unknown; qwen3_1_7b=song; qwen3_4b=content; qwen3_8b=content; gemma3_270m=song; gemma3_1b=concept; gemma3_4b=unknown; gemma3_12b=content"
Bose QuietComfort 45,12,5,"artifact, content, event, person, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=event; qwen3_1_7b=product; qwen3_4b=content; qwen3_8b=content; gemma3_270m=person; gemma3_1b=product; gemma3_4b=artifact; gemma3_12b=artifact
Bose QuietComfort Headphones,12,5,"artifact, content, event, headphone, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=event; qwen3_1_7b=product; qwen3_4b=content; qwen3_8b=content; gemma3_270m=headphone; gemma3_1b=product; gemma3_4b=artifact; gemma3_12b=artifact
Bose QuietComfort Ultra,12,5,"artifact, audio, content, device, event",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=event; qwen3_1_7b=artifact; qwen3_4b=artifact; qwen3_8b=artifact; gemma3_270m=device; gemma3_1b=audio; gemma3_4b=artifact; gemma3_12b=artifact
Dinosaurs,12,5,"animal, concept, creature, event, unknown",qwen35_0_8b=concept; qwen35_2b=unknown; qwen35_4b=creature; qwen35_9b=creature; qwen3_0_6b=event; qwen3_1_7b=creature; qwen3_4b=concept; qwen3_8b=concept; gemma3_270m=animal; gemma3_1b=creature; gemma3_4b=creature; gemma3_12b=creature
Facebook,12,5,"artifact, content, location, organization, other",qwen35_0_8b=artifact; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=content; qwen3_1_7b=organization; qwen3_4b=location; qwen3_8b=other; gemma3_270m=organization; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
Fireball,12,5,"artifact, content, elementaldominance, method, skill",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=method; qwen3_0_6b=artifact; qwen3_1_7b=content; qwen3_4b=content; qwen3_8b=skill; gemma3_270m=elementaldominance; gemma3_1b=method; gemma3_4b=method; gemma3_12b=method
GPTs,12,5,"artifact, concept, content, largelanguagemodels, method",qwen35_0_8b=concept; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=concept; qwen3_1_7b=concept; qwen3_4b=concept; qwen3_8b=concept; gemma3_270m=largelanguagemodels; gemma3_1b=method; gemma3_4b=content; gemma3_12b=artifact
In The Know,12,5,"article, content, event, organization, unknown",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=event; qwen3_1_7b=organization; qwen3_4b=content; qwen3_8b=content; gemma3_270m=article; gemma3_1b=unknown; gemma3_4b=content; gemma3_12b=organization
Ipomoea aquatica,12,5,"concept, content, creature, naturalobject, plant",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=creature; qwen35_9b=creature; qwen3_0_6b=plant; qwen3_1_7b=content; qwen3_4b=concept; qwen3_8b=naturalobject; gemma3_270m=plant; gemma3_1b=plant; gemma3_4b=creature; gemma3_12b=creature
Magic Keyboard,12,5,"artifact, concept, content, product, unknown",qwen35_0_8b=content; qwen35_2b=concept; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=artifact; qwen3_1_7b=artifact; qwen3_4b=product; qwen3_8b=artifact; gemma3_270m=product; gemma3_1b=unknown; gemma3_4b=artifact; gemma3_12b=artifact
Nintendo Switch OLED,12,5,"artifact, content, location, organization, product",qwen35_0_8b=artifact; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=location; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=artifact; gemma3_270m=product; gemma3_1b=artifact; gemma3_4b=artifact; gemma3_12b=artifact
Northern Lights,12,5,"concept, event, naturalobject, object, unknown","qwen35_0_8b=concept,event; qwen35_2b=concept,unknown; qwen35_4b=naturalobject; qwen35_9b=concept; qwen3_0_6b=event; qwen3_1_7b=concept; qwen3_4b=event; qwen3_8b=concept; gemma3_270m=object; gemma3_1b=concept; gemma3_4b=concept; gemma3_12b=concept"
PS5 Slim,12,5,"artifact, location, organization, product, unknown",qwen35_0_8b=artifact; qwen35_2b=unknown; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=location; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=artifact; gemma3_270m=product; gemma3_1b=artifact; gemma3_4b=artifact; gemma3_12b=artifact
Phantom Liberty,12,5,"concept, content, event, organization, rpg",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=event; qwen3_1_7b=organization; qwen3_4b=event; qwen3_8b=content; gemma3_270m=rpg; gemma3_1b=concept; gemma3_4b=content; gemma3_12b=content
Silent Hill,12,5,"concept, content, event, location, movie",qwen35_0_8b=content; qwen35_2b=location; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=event; qwen3_1_7b=location; qwen3_4b=location; qwen3_8b=content; gemma3_270m=movie; gemma3_1b=concept; gemma3_4b=location; gemma3_12b=location
Sony WH-1000XM5,12,5,"artifact, audio, content, device, event",qwen35_0_8b=artifact; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=event; qwen3_1_7b=artifact; qwen3_4b=artifact; qwen3_8b=artifact; gemma3_270m=device; gemma3_1b=audio; gemma3_4b=artifact; gemma3_12b=artifact
The Thing,12,5,"concept, content, event, movie, unknown",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=event; qwen3_1_7b=event; qwen3_4b=event; qwen3_8b=content; gemma3_270m=movie; gemma3_1b=concept; gemma3_4b=unknown; gemma3_12b=content
Venba,12,5,"concept, content, game, organization, person","qwen35_0_8b=person; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=concept,organization; qwen3_1_7b=game; qwen3_4b=content; qwen3_8b=content; gemma3_270m=person; gemma3_1b=concept; gemma3_4b=content; gemma3_12b=content"
YouTube,12,5,"artifact, content, location, organization, videoplatform",qwen35_0_8b=organization; qwen35_2b=content; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=organization; qwen3_1_7b=artifact; qwen3_4b=organization; qwen3_8b=location; gemma3_270m=videoplatform; gemma3_1b=organization; gemma3_4b=content; gemma3_12b=organization
laptop,12,5,"artifact, concept, content, creature, device",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=creature; qwen3_1_7b=artifact; qwen3_4b=concept; qwen3_8b=artifact; gemma3_270m=device; gemma3_1b=artifact; gemma3_4b=artifact; gemma3_12b=artifact
49ers,12,4,"organization, player, team, unknown",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=team; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=player; gemma3_1b=unknown; gemma3_4b=organization; gemma3_12b=organization
AI,12,4,"artificialintelligence, concept, method, unknown",qwen35_0_8b=concept; qwen35_2b=method; qwen35_4b=method; qwen35_9b=concept; qwen3_0_6b=concept; qwen3_1_7b=concept; qwen3_4b=concept; qwen3_8b=concept; gemma3_270m=artificialintelligence; gemma3_1b=unknown; gemma3_4b=concept; gemma3_12b=concept
Amazon Fire TV Stick Lite,12,4,"artifact, content, organization, product",qwen35_0_8b=content; qwen35_2b=artifact; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=organization; qwen3_1_7b=artifact; qwen3_4b=product; qwen3_8b=artifact; gemma3_270m=product; gemma3_1b=product; gemma3_4b=artifact; gemma3_12b=artifact
American Horror Story: NYC,12,4,"content, event, horrortv, unknown",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=event; qwen3_1_7b=content; qwen3_4b=content; qwen3_8b=content; gemma3_270m=horrortv; gemma3_1b=unknown; gemma3_4b=content; gemma3_12b=content
Apple,12,4,"company, organization, person, product",qwen35_0_8b=person; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=company; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=product; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
Beats Fit Pro,12,4,"artifact, content, event, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=event; qwen3_1_7b=product; qwen3_4b=content; qwen3_8b=content; gemma3_270m=product; gemma3_1b=product; gemma3_4b=content; gemma3_12b=artifact
Bose QuietComfort Earbuds II,12,4,"artifact, earbuds, organization, product",qwen35_0_8b=artifact; qwen35_2b=artifact; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=organization; qwen3_1_7b=organization; qwen3_4b=artifact; qwen3_8b=artifact; gemma3_270m=earbuds; gemma3_1b=product; gemma3_4b=artifact; gemma3_12b=artifact
Champions League,12,4,"event, football, tournament, unknown",qwen35_0_8b=event; qwen35_2b=event; qwen35_4b=event; qwen35_9b=event; qwen3_0_6b=event; qwen3_1_7b=event; qwen3_4b=event; qwen3_8b=tournament; gemma3_270m=football; gemma3_1b=event; gemma3_4b=unknown; gemma3_12b=event
